,tweets_is_quote_status,tweets_favorite_count,tweets_user_friends_count,tweets_user_followers_count,tweets_user_favourites_count,tweets_user_geo_enabled,tweets_user_statuses_count,tweets_user_profile_use_background_image,tweets_user_has_extended_profile,tweets_user_default_profile_image,deets_possibly_sensitive,deets_reply_count,deets_like_count,deets_quote_count,users_verified,users_protected,users_followers_count,users_following_count,users_tweet_count,users_listed_count,deets_text_character_length,users_description_character_length,tweets_user_profile_background_color_F5F8FA,tweets_user_profile_background_color_C0DEED,tweets_user_profile_background_color_000000,tweets_user_profile_text_color_333333,tweets_user_profile_text_color_000000,tweets_user_profile_text_color_666666,retweet_class
5278,True,0,0,6105,0,False,580152,True,False,True,False,0.0,0.0,0.0,False,False,6117.0,0.0,582161.0,144.0,140.0,92.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5279,False,0,8161,7430,8651,True,22594,True,False,False,False,0.0,0.0,0.0,False,False,7430.0,8162.0,22599.0,733.0,140.0,149.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5280,False,0,3710,1475,10361,False,14078,False,False,False,False,0.0,0.0,0.0,False,False,1477.0,3723.0,14116.0,173.0,144.0,79.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5281,False,0,2671,4747,17794,True,116074,False,False,False,False,0.0,0.0,0.0,False,False,4754.0,2671.0,116273.0,95.0,126.0,158.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5282,False,0,1,1533,116,False,73244,False,True,False,False,0.0,0.0,0.0,False,False,1532.0,1.0,73315.0,141.0,139.0,72.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5283,False,0,966,1229,88857,False,88927,True,False,True,False,0.0,0.0,0.0,False,False,1230.0,967.0,88927.0,10.0,140.0,81.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5284,False,0,6304,7033,484,True,74807,True,True,False,False,0.0,0.0,0.0,False,False,7039.0,6304.0,75055.0,3260.0,140.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5285,False,0,8100,7924,160927,True,165995,True,False,True,False,0.0,0.0,0.0,False,False,7912.0,8101.0,166037.0,51.0,140.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5286,False,0,5001,3006,47314,False,134737,True,True,False,False,0.0,0.0,0.0,False,False,3003.0,5001.0,134742.0,1087.0,140.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5287,False,0,966,1229,88857,False,88927,True,False,True,False,0.0,0.0,0.0,False,False,1230.0,967.0,88927.0,10.0,140.0,81.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5288,False,0,616,1134,48910,True,20723,False,True,False,False,0.0,0.0,0.0,False,False,1133.0,616.0,20723.0,495.0,140.0,122.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5289,False,0,0,6105,0,False,580152,True,False,True,False,0.0,0.0,0.0,False,False,6117.0,0.0,582161.0,144.0,140.0,92.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5290,False,0,4568,4024,43865,True,32045,False,True,False,False,0.0,0.0,0.0,False,False,4024.0,4565.0,32060.0,341.0,132.0,92.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5291,False,0,1955,1314,8955,True,4802,True,False,True,False,0.0,0.0,0.0,False,False,1314.0,1956.0,4802.0,105.0,215.0,141.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5292,False,0,5000,1232,1472,False,1524,True,True,True,False,0.0,0.0,0.0,False,False,1229.0,5000.0,1526.0,1.0,139.0,80.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5293,False,1,1480,1462,233,False,13550,True,True,False,False,0.0,1.0,0.0,False,False,1462.0,1480.0,13550.0,18.0,123.0,123.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5294,False,0,4412,4222,38634,False,55058,True,False,True,False,0.0,0.0,0.0,False,False,4218.0,4411.0,55058.0,275.0,139.0,158.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
